F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:0.36, AccY:0.09, AccZ:0.84, GyroX:-1.90, GyroY:0.65, GyroZ:1.84
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:0.37, AccY:0.09, AccZ:0.85, GyroX:-1.14, GyroY:0.98, GyroZ:1.95
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:0.38, AccY:0.09, AccZ:0.86, GyroX:-0.68, GyroY:1.31, GyroZ:1.70
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:0.37, AccY:0.09, AccZ:0.85, GyroX:-0.70, GyroY:1.69, GyroZ:1.67
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:0.37, AccY:0.09, AccZ:0.86, GyroX:-0.18, GyroY:1.43, GyroZ:1.43
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:0.36, AccY:0.10, AccZ:0.87, GyroX:-0.28, GyroY:0.73, GyroZ:0.97
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:0.38, AccY:0.09, AccZ:0.85, GyroX:-0.37, GyroY:0.72, GyroZ:1.15
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:0.37, AccY:0.10, AccZ:0.85, GyroX:-0.05, GyroY:1.13, GyroZ:1.24
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:0.37, AccY:0.10, AccZ:0.84, GyroX:-0.04, GyroY:1.37, GyroZ:1.08
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:0.37, AccY:0.10, AccZ:0.86, GyroX:-0.25, GyroY:1.49, GyroZ:1.09
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:0.36, AccY:0.09, AccZ:0.86, GyroX:-0.63, GyroY:1.14, GyroZ:1.18
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:0.36, AccY:0.09, AccZ:0.86, GyroX:-0.25, GyroY:0.59, GyroZ:1.03
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:0.36, AccY:0.09, AccZ:0.85, GyroX:-0.18, GyroY:0.18, GyroZ:0.79
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:0.37, AccY:0.09, AccZ:0.85, GyroX:0.54, GyroY:0.70, GyroZ:0.42
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:0.37, AccY:0.09, AccZ:0.85, GyroX:0.97, GyroY:1.07, GyroZ:0.19
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:0.36, AccY:0.09, AccZ:0.86, GyroX:0.95, GyroY:0.72, GyroZ:-0.08
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:0.36, AccY:0.09, AccZ:0.87, GyroX:0.95, GyroY:0.36, GyroZ:-0.34
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:0.36, AccY:0.09, AccZ:0.86, GyroX:0.88, GyroY:0.07, GyroZ:-0.25
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:0.37, AccY:0.09, AccZ:0.85, GyroX:1.53, GyroY:-0.09, GyroZ:-0.50
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:0.37, AccY:0.09, AccZ:0.85, GyroX:1.93, GyroY:0.09, GyroZ:-0.43
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:0.37, AccY:0.09, AccZ:0.84, GyroX:2.01, GyroY:0.58, GyroZ:-0.68
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:0.37, AccY:0.10, AccZ:0.85, GyroX:2.66, GyroY:0.90, GyroZ:-0.74
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:0.37, AccY:0.10, AccZ:0.85, GyroX:2.07, GyroY:0.70, GyroZ:-0.60
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:0.36, AccY:0.10, AccZ:0.86, GyroX:1.99, GyroY:0.62, GyroZ:-0.69
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:0.36, AccY:0.10, AccZ:0.86, GyroX:2.01, GyroY:0.32, GyroZ:-0.54
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:0.36, AccY:0.10, AccZ:0.85, GyroX:1.92, GyroY:0.14, GyroZ:-0.97
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:0.36, AccY:0.09, AccZ:0.85, GyroX:2.17, GyroY:0.03, GyroZ:-0.92
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:0.37, AccY:0.10, AccZ:0.85, GyroX:2.28, GyroY:0.18, GyroZ:-1.23
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:0.36, AccY:0.09, AccZ:0.86, GyroX:2.51, GyroY:0.64, GyroZ:-1.18
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:0.36, AccY:0.10, AccZ:0.85, GyroX:2.02, GyroY:0.61, GyroZ:-1.15
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:0.36, AccY:0.11, AccZ:0.86, GyroX:1.50, GyroY:0.43, GyroZ:-1.20
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:0.36, AccY:0.10, AccZ:0.86, GyroX:1.03, GyroY:-0.15, GyroZ:-1.15
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:0.37, AccY:0.09, AccZ:0.85, GyroX:1.08, GyroY:-0.40, GyroZ:-0.94
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:0.37, AccY:0.10, AccZ:0.85, GyroX:1.34, GyroY:0.12, GyroZ:-1.49
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:0.36, AccY:0.11, AccZ:0.85, GyroX:0.85, GyroY:0.21, GyroZ:-1.24
