F1:OFF, F2:OFF, F3:OFF, F4:ON | AccX:0.95, AccY:0.04, AccZ:0.32, GyroX:2.88, GyroY:-2.96, GyroZ:-0.89
F1:OFF, F2:OFF, F3:OFF, F4:ON | AccX:0.96, AccY:0.01, AccZ:0.33, GyroX:0.02, GyroY:0.07, GyroZ:1.49
F1:OFF, F2:OFF, F3:OFF, F4:ON | AccX:0.95, AccY:0.02, AccZ:0.32, GyroX:0.80, GyroY:2.17, GyroZ:0.69
F1:OFF, F2:OFF, F3:OFF, F4:ON | AccX:0.95, AccY:0.02, AccZ:0.31, GyroX:0.77, GyroY:4.82, GyroZ:-0.40
F1:OFF, F2:OFF, F3:OFF, F4:ON | AccX:0.93, AccY:0.01, AccZ:0.34, GyroX:3.58, GyroY:5.68, GyroZ:0.10
F1:OFF, F2:OFF, F3:OFF, F4:ON | AccX:0.91, AccY:0.02, AccZ:0.37, GyroX:8.11, GyroY:1.27, GyroZ:-1.26
F1:OFF, F2:OFF, F3:OFF, F4:ON | AccX:0.91, AccY:0.02, AccZ:0.34, GyroX:6.27, GyroY:-1.65, GyroZ:-2.31
F1:OFF, F2:OFF, F3:OFF, F4:ON | AccX:0.95, AccY:0.03, AccZ:0.31, GyroX:4.82, GyroY:-1.60, GyroZ:-1.67
F1:OFF, F2:OFF, F3:OFF, F4:ON | AccX:0.97, AccY:0.05, AccZ:0.30, GyroX:0.95, GyroY:3.86, GyroZ:0.76
F1:OFF, F2:OFF, F3:OFF, F4:ON | AccX:0.95, AccY:0.02, AccZ:0.30, GyroX:-0.63, GyroY:8.20, GyroZ:0.83
F1:OFF, F2:OFF, F3:OFF, F4:ON | AccX:0.91, AccY:0.00, AccZ:0.33, GyroX:1.23, GyroY:10.20, GyroZ:-0.79
F1:OFF, F2:OFF, F3:OFF, F4:ON | AccX:0.90, AccY:0.01, AccZ:0.36, GyroX:3.50, GyroY:8.56, GyroZ:-2.37
F1:OFF, F2:OFF, F3:OFF, F4:ON | AccX:0.90, AccY:0.01, AccZ:0.41, GyroX:5.01, GyroY:0.56, GyroZ:-3.67
F1:OFF, F2:OFF, F3:OFF, F4:ON | AccX:0.95, AccY:0.04, AccZ:0.36, GyroX:0.63, GyroY:-1.91, GyroZ:-3.47
F1:OFF, F2:OFF, F3:OFF, F4:ON | AccX:0.96, AccY:0.02, AccZ:0.36, GyroX:-0.59, GyroY:-1.41, GyroZ:-1.55
F1:OFF, F2:OFF, F3:OFF, F4:ON | AccX:0.97, AccY:0.01, AccZ:0.35, GyroX:0.77, GyroY:0.43, GyroZ:-1.31
F1:OFF, F2:OFF, F3:OFF, F4:ON | AccX:0.95, AccY:0.01, AccZ:0.36, GyroX:1.87, GyroY:2.15, GyroZ:-1.18
F1:OFF, F2:OFF, F3:OFF, F4:ON | AccX:0.94, AccY:0.01, AccZ:0.38, GyroX:3.59, GyroY:-0.81, GyroZ:-0.63
F1:OFF, F2:OFF, F3:OFF, F4:ON | AccX:0.93, AccY:0.02, AccZ:0.38, GyroX:3.50, GyroY:-5.68, GyroZ:1.03
F1:OFF, F2:OFF, F3:OFF, F4:ON | AccX:0.95, AccY:0.01, AccZ:0.37, GyroX:-2.19, GyroY:-6.98, GyroZ:3.06
F1:OFF, F2:OFF, F3:OFF, F4:ON | AccX:0.97, AccY:-0.04, AccZ:0.35, GyroX:-5.08, GyroY:-7.65, GyroZ:3.78
F1:OFF, F2:OFF, F3:OFF, F4:ON | AccX:0.99, AccY:-0.07, AccZ:0.32, GyroX:-4.54, GyroY:-4.23, GyroZ:2.36
F1:OFF, F2:OFF, F3:OFF, F4:ON | AccX:0.98, AccY:-0.07, AccZ:0.33, GyroX:-4.66, GyroY:-0.17, GyroZ:0.53
F1:OFF, F2:OFF, F3:OFF, F4:ON | AccX:0.96, AccY:-0.10, AccZ:0.36, GyroX:-5.75, GyroY:0.07, GyroZ:-1.11
F1:OFF, F2:OFF, F3:OFF, F4:ON | AccX:0.95, AccY:-0.10, AccZ:0.39, GyroX:-9.20, GyroY:-1.71, GyroZ:-2.82
F1:OFF, F2:OFF, F3:OFF, F4:ON | AccX:0.96, AccY:-0.12, AccZ:0.39, GyroX:-13.00, GyroY:-3.79, GyroZ:-5.52
F1:OFF, F2:OFF, F3:OFF, F4:ON | AccX:0.98, AccY:-0.15, AccZ:0.36, GyroX:-13.23, GyroY:-3.68, GyroZ:-9.78
F1:OFF, F2:OFF, F3:OFF, F4:ON | AccX:0.98, AccY:-0.15, AccZ:0.36, GyroX:-12.13, GyroY:-1.62, GyroZ:-14.16
F1:OFF, F2:OFF, F3:OFF, F4:ON | AccX:0.95, AccY:-0.15, AccZ:0.34, GyroX:-10.50, GyroY:-2.98, GyroZ:-18.59
F1:OFF, F2:OFF, F3:OFF, F4:ON | AccX:0.95, AccY:-0.14, AccZ:0.33, GyroX:-7.60, GyroY:-5.42, GyroZ:-21.67
F1:OFF, F2:OFF, F3:OFF, F4:ON | AccX:0.94, AccY:-0.11, AccZ:0.31, GyroX:-6.51, GyroY:-6.25, GyroZ:-23.40
F1:OFF, F2:OFF, F3:OFF, F4:ON | AccX:0.94, AccY:-0.09, AccZ:0.32, GyroX:-10.62, GyroY:-7.41, GyroZ:-23.96
F1:OFF, F2:OFF, F3:OFF, F4:ON | AccX:0.95, AccY:-0.07, AccZ:0.32, GyroX:-17.73, GyroY:-8.23, GyroZ:-24.10
F1:OFF, F2:OFF, F3:OFF, F4:ON | AccX:0.95, AccY:-0.09, AccZ:0.30, GyroX:-22.68, GyroY:-9.88, GyroZ:-24.25
F1:OFF, F2:OFF, F3:OFF, F4:ON | AccX:0.95, AccY:-0.08, AccZ:0.28, GyroX:-24.66, GyroY:-9.99, GyroZ:-25.56
F1:OFF, F2:OFF, F3:OFF, F4:ON | AccX:0.97, AccY:-0.05, AccZ:0.25, GyroX:-26.65, GyroY:-7.93, GyroZ:-27.09
F1:OFF, F2:OFF, F3:OFF, F4:ON | AccX:0.95, AccY:-0.07, AccZ:0.27, GyroX:-25.87, GyroY:-5.06, GyroZ:-29.00
F1:OFF, F2:OFF, F3:OFF, F4:ON | AccX:0.96, AccY:-0.07, AccZ:0.28, GyroX:-20.59, GyroY:-4.54, GyroZ:-32.53
F1:OFF, F2:OFF, F3:OFF, F4:ON | AccX:0.96, AccY:-0.03, AccZ:0.28, GyroX:-20.73, GyroY:-4.51, GyroZ:-36.83
F1:OFF, F2:OFF, F3:OFF, F4:ON | AccX:0.95, AccY:-0.01, AccZ:0.28, GyroX:-24.48, GyroY:-3.18, GyroZ:-39.38
F1:OFF, F2:OFF, F3:OFF, F4:ON | AccX:0.95, AccY:0.00, AccZ:0.29, GyroX:-29.49, GyroY:-2.78, GyroZ:-40.10
F1:OFF, F2:OFF, F3:OFF, F4:ON | AccX:0.93, AccY:0.01, AccZ:0.29, GyroX:-34.24, GyroY:-3.25, GyroZ:-39.81
F1:OFF, F2:OFF, F3:OFF, F4:ON | AccX:0.92, AccY:0.01, AccZ:0.31, GyroX:-38.63, GyroY:-5.94, GyroZ:-40.10
F1:OFF, F2:OFF, F3:OFF, F4:ON | AccX:0.93, AccY:-0.01, AccZ:0.30, GyroX:-37.35, GyroY:-7.64, GyroZ:-42.69
F1:OFF, F2:OFF, F3:OFF, F4:ON | AccX:0.92, AccY:-0.00, AccZ:0.29, GyroX:-31.52, GyroY:-8.48, GyroZ:-46.77
F1:OFF, F2:OFF, F3:OFF, F4:ON | AccX:0.95, AccY:0.03, AccZ:0.25, GyroX:-29.05, GyroY:-4.14, GyroZ:-50.42
F1:OFF, F2:OFF, F3:OFF, F4:ON | AccX:0.92, AccY:0.03, AccZ:0.27, GyroX:-26.92, GyroY:1.20, GyroZ:-52.83
